0.665700, 0.024100, 0.310200
0.665500, 0.025300, 0.309200
0.666100, 0.026400, 0.307500
0.666800, 0.026800, 0.306400
0.664700, 0.029400, 0.305900
0.663200, 0.030800, 0.306000
0.659700, 0.033100, 0.307200
0.658000, 0.034700, 0.307300
0.657500, 0.035300, 0.307200
0.656600, 0.034900, 0.308500
0.656000, 0.036100, 0.307900
0.653400, 0.037200, 0.309400
0.653000, 0.036000, 0.311000
0.649100, 0.038500, 0.312400
0.646100, 0.039000, 0.314900
0.644300, 0.041500, 0.314200
0.643000, 0.043800, 0.313200
0.638700, 0.046900, 0.314400
0.636200, 0.047700, 0.316100
0.633600, 0.050100, 0.316300
0.627200, 0.053000, 0.319800
0.621700, 0.054800, 0.323500
0.614300, 0.057100, 0.328600
0.607600, 0.060600, 0.331800
0.600300, 0.064200, 0.335500
0.594500, 0.067200, 0.338300
0.589700, 0.068600, 0.341700
0.580200, 0.072400, 0.347400
0.571100, 0.076100, 0.352800
0.562000, 0.079400, 0.358600
0.550400, 0.085400, 0.364200
0.541500, 0.088700, 0.369800
0.534400, 0.091900, 0.373700
0.524700, 0.093500, 0.381800
0.515200, 0.094600, 0.390200
0.506400, 0.098400, 0.395200
0.493300, 0.104300, 0.402400
0.479600, 0.107700, 0.412700
0.469300, 0.110800, 0.419900
0.456600, 0.114000, 0.429400
0.443800, 0.119400, 0.436800
0.429500, 0.125100, 0.445400
0.417100, 0.128700, 0.454200
0.404800, 0.132800, 0.462400
0.392700, 0.135100, 0.472200
0.383500, 0.134500, 0.482000
0.368400, 0.137200, 0.494400
0.357900, 0.137300, 0.504800
0.346300, 0.135600, 0.518100
0.333800, 0.137100, 0.529100
0.323800, 0.139400, 0.536800
0.312700, 0.142000, 0.545300
0.300700, 0.145100, 0.554200
0.290800, 0.144700, 0.564500
0.281200, 0.144800, 0.574000
0.269400, 0.147100, 0.583500
0.257500, 0.148300, 0.594200
0.243600, 0.152600, 0.603800
0.228200, 0.156900, 0.614900
0.217500, 0.160200, 0.622300
0.206500, 0.160000, 0.633500
0.201500, 0.158100, 0.640400
0.192300, 0.158500, 0.649200
0.187500, 0.156900, 0.655600
0.181600, 0.156600, 0.661800
0.178100, 0.151600, 0.670300
0.177100, 0.145100, 0.677800
0.174500, 0.140700, 0.684800
0.174800, 0.134000, 0.691200
0.175400, 0.126300, 0.698300
0.177200, 0.117700, 0.705100
0.179100, 0.112000, 0.708900
0.185700, 0.103500, 0.710800
0.188800, 0.097500, 0.713700
0.192900, 0.092300, 0.714800
0.196800, 0.087700, 0.715500
0.200200, 0.082900, 0.716900
0.203500, 0.078500, 0.718000
0.206900, 0.074100, 0.719000
0.212200, 0.070800, 0.717000
0.216800, 0.066600, 0.716600
0.221800, 0.062000, 0.716200
0.228000, 0.058000, 0.714000
0.232300, 0.055400, 0.712300
0.237100, 0.051200, 0.711700
0.242900, 0.047000, 0.710100
0.247100, 0.043500, 0.709400
0.252300, 0.041700, 0.706000
0.257800, 0.040800, 0.701400
0.264900, 0.038000, 0.697100
0.269800, 0.036500, 0.693700
0.275200, 0.034600, 0.690200
0.280400, 0.033000, 0.686600
